id,phase,day,date,time_pt,channel,draft,link,summary
A02-rain,phase-a-prelaunch,T-2,,10:00,tiktok,devlog-clips.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=clip&utm_campaign=launch,Devlog clip: rain on Dolores (weather requests)
A02-rain,phase-a-prelaunch,T-2,,10:00,x,devlog-clips.md,{{SITE_URL}}?utm_source=x&utm_medium=clip&utm_campaign=launch,Devlog clip: rain on Dolores (weather requests)
A01-tomorrow,phase-a-prelaunch,T-1,,18:00,x,launch-thread.md,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=launch,'Tomorrow.' + 15s teaser
A01-tomorrow,phase-a-prelaunch,T-1,,18:00,bluesky,launch-thread.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=launch,'Tomorrow.' + 15s teaser
A01-tomorrow,phase-a-prelaunch,T-1,,18:00,tiktok,launch-thread.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=organic&utm_campaign=launch,'Tomorrow.' + 15s teaser
A01-tomorrow,phase-a-prelaunch,T-1,,18:00,youtube-shorts,launch-thread.md,{{SITE_URL}}?utm_source=youtube&utm_medium=organic&utm_campaign=launch,'Tomorrow.' + 15s teaser
B0900-thread,phase-b-launchday,T+0,,09:00,x,launch-thread.md,{{SITE_URL}}?utm_source=x&utm_medium=thread&utm_campaign=launch,Announcement thread (X) + condensed (Bluesky) + trailer (YouTube)
B0900-thread,phase-b-launchday,T+0,,09:00,bluesky,launch-thread.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=thread&utm_campaign=launch,Announcement thread (X) + condensed (Bluesky) + trailer (YouTube)
B0900-thread,phase-b-launchday,T+0,,09:00,youtube,launch-thread.md,{{SITE_URL}}?utm_source=youtube&utm_medium=thread&utm_campaign=launch,Announcement thread (X) + condensed (Bluesky) + trailer (YouTube)
B0930-clip,phase-b-launchday,T+0,,09:30,tiktok,devlog-clips.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=clip&utm_campaign=launch,TikTok clip 1 + Shorts mirror
B0930-clip,phase-b-launchday,T+0,,09:30,youtube-shorts,devlog-clips.md,{{SITE_URL}}?utm_source=youtube&utm_medium=clip&utm_campaign=launch,TikTok clip 1 + Shorts mirror
B1100-shots,phase-b-launchday,T+0,,11:00,x,,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=launch,"Screenshot set: the block at launch hour (site/shots/, 'development build' label)"
B1100-shots,phase-b-launchday,T+0,,11:00,bluesky,,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=launch,"Screenshot set: the block at launch hour (site/shots/, 'development build' label)"
B1300-jules,phase-b-launchday,T+0,,13:00,x,cast-spotlights.md,{{SITE_URL}}?utm_source=x&utm_medium=spotlight&utm_campaign=launch,First cast spotlight rerun (Jules) + watch-now link
B1300-jules,phase-b-launchday,T+0,,13:00,bluesky,cast-spotlights.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=spotlight&utm_campaign=launch,First cast spotlight rerun (Jules) + watch-now link
B1500-feed,phase-b-launchday,T+0,,15:00,x,,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=launch,"Request-feed screenshot: first real player request — or 'the feed is empty, be the first' (feed-honesty rule)"
B1800-evening,phase-b-launchday,T+0,,18:00,x,,{{SITE_URL}}?utm_source=x&utm_medium=clip&utm_campaign=launch,Evening shot + 'the block doesn't sleep'
B1800-evening,phase-b-launchday,T+0,,18:00,bluesky,,{{SITE_URL}}?utm_source=bluesky&utm_medium=clip&utm_campaign=launch,Evening shot + 'the block doesn't sleep'
B1800-evening,phase-b-launchday,T+0,,18:00,tiktok,,{{SITE_URL}}?utm_source=tiktok&utm_medium=clip&utm_campaign=launch,Evening shot + 'the block doesn't sleep'
B2100-recap,phase-b-launchday,T+0,,21:00,x,recap-format.md,{{SITE_URL}}?utm_source=x&utm_medium=recap&utm_campaign=launch,Day-one recap: first 'This Week on the Block' — real events only
B2100-recap,phase-b-launchday,T+0,,21:00,bluesky,recap-format.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=recap&utm_campaign=launch,Day-one recap: first 'This Week on the Block' — real events only
B-watchalong,phase-b-launchday,T+0,,08:45,x,launch-watchalong.md,{{SITE_URL}}?utm_source=x&utm_medium=thread&utm_campaign=launch,"Launch watchalong: one clock-stamped live-narration thread, 08:45→23:00 PT — reports what the block actually does; silence rules, max 14 beats"
B-watchalong,phase-b-launchday,T+0,,08:45,bluesky,launch-watchalong.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=thread&utm_campaign=launch,"Launch watchalong: one clock-stamped live-narration thread, 08:45→23:00 PT — reports what the block actually does; silence rules, max 14 beats"
C-weekly-recap,phase-c-postlaunch,T+1..T+30 (weekly-sunday),,10:00,x,recap-format.md,{{SITE_URL}}?utm_source=x&utm_medium=recap&utm_campaign=ongoing,Weekly anchor: 'This Week on the Block' from the public feed
C-weekly-recap,phase-c-postlaunch,T+1..T+30 (weekly-sunday),,10:00,bluesky,recap-format.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=recap&utm_campaign=ongoing,Weekly anchor: 'This Week on the Block' from the public feed
C-spotlights-drip,phase-c-postlaunch,T+1..T+14 (every-2-3-days),,10:00,x,cast-spotlights.md,{{SITE_URL}}?utm_source=x&utm_medium=spotlight&utm_campaign=week1,Remaining 5 main-cast spotlights drip over weeks 1–2
C-spotlights-drip,phase-c-postlaunch,T+1..T+14 (every-2-3-days),,10:00,bluesky,cast-spotlights.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=spotlight&utm_campaign=week1,Remaining 5 main-cast spotlights drip over weeks 1–2
C-devlog-drip,phase-c-postlaunch,T+1..T+21 (weekly),,10:00,tiktok,devlog-clips.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=clip&utm_campaign=ongoing,"Remaining devlog clips, then clip whatever the feed produces (capture-plan.md)"
C-devlog-drip,phase-c-postlaunch,T+1..T+21 (weekly),,10:00,x,devlog-clips.md,{{SITE_URL}}?utm_source=x&utm_medium=clip&utm_campaign=ongoing,"Remaining devlog clips, then clip whatever the feed produces (capture-plan.md)"
C-devlog-drip,phase-c-postlaunch,T+1..T+21 (weekly),,10:00,youtube-shorts,devlog-clips.md,{{SITE_URL}}?utm_source=youtube&utm_medium=clip&utm_campaign=ongoing,"Remaining devlog clips, then clip whatever the feed produces (capture-plan.md)"
C-counter-arc,phase-c-postlaunch,T+7..T+13 (arc-mon-thu),,10:00,x,counter-arc.md,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=week1,"Counter arc (v94): 4 posts — the counter, the free check, the receipt, co-sponsoring. Post-launch only."
C-counter-arc,phase-c-postlaunch,T+7..T+13 (arc-mon-thu),,10:00,bluesky,counter-arc.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=week1,"Counter arc (v94): 4 posts — the counter, the free check, the receipt, co-sponsoring. Post-launch only."
C-rent-week,phase-c-postlaunch,T+7..T+13 (arc-daily),,10:00,x,rent-week-arc.md,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=week1,Rent Week arc: 7-post series on the first in-world rent cycle
C-rent-week,phase-c-postlaunch,T+7..T+13 (arc-daily),,10:00,bluesky,rent-week-arc.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=week1,Rent Week arc: 7-post series on the first in-world rent cycle
C-archive-arc,phase-c-postlaunch,T+14..T+20 (arc-mon-fri),,10:00,x,archive-arc.md,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=ongoing,Archive arc: 5 posts — 'the block keeps receipts'. Post-launch only; demo badge pre-live.
C-archive-arc,phase-c-postlaunch,T+14..T+20 (arc-mon-fri),,10:00,bluesky,archive-arc.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=ongoing,Archive arc: 5 posts — 'the block keeps receipts'. Post-launch only; demo badge pre-live.
C-parrot-watch,phase-c-postlaunch,T+14..T+16 (arc-weekend),,10:00,x,parrot-watch.md,{{SITE_URL}}?utm_source=x&utm_medium=clip&utm_campaign=ongoing,"Parrot Watch mini-arc (3 posts) — prefers live PARROT_CLIP, degrades to stills"
C-parrot-watch,phase-c-postlaunch,T+14..T+16 (arc-weekend),,10:00,bluesky,parrot-watch.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=clip&utm_campaign=ongoing,"Parrot Watch mini-arc (3 posts) — prefers live PARROT_CLIP, degrades to stills"
C-parrot-watch,phase-c-postlaunch,T+14..T+16 (arc-weekend),,10:00,tiktok,parrot-watch.md,{{SITE_URL}}?utm_source=tiktok&utm_medium=clip&utm_campaign=ongoing,"Parrot Watch mini-arc (3 posts) — prefers live PARROT_CLIP, degrades to stills"
C-move-in,phase-c-postlaunch,T+21..T+27 (arc-daily),,10:00,x,move-in-arc.md,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=ongoing,Move-In Week arc: 6 posts on hiring a character onto the cast
C-move-in,phase-c-postlaunch,T+21..T+27 (arc-daily),,10:00,bluesky,move-in-arc.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=ongoing,Move-In Week arc: 6 posts on hiring a character onto the cast
C-caught-on-block,phase-c-postlaunch,T+3..T+30 (weekly-saturday),,10:00,x,caught-on-the-block.md,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=ongoing,"Caught on the Block: weekly viewer-clip prompt — UGC intake feeding reshare-playbook gates, M11, clip-of-the-week. Post-launch only."
C-caught-on-block,phase-c-postlaunch,T+3..T+30 (weekly-saturday),,10:00,bluesky,caught-on-the-block.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=ongoing,"Caught on the Block: weekly viewer-clip prompt — UGC intake feeding reshare-playbook gates, M11, clip-of-the-week. Post-launch only."
C-limits,phase-c-postlaunch,T+28..T+30 (evergreen),,10:00,x,offline-and-limits.md,{{SITE_URL}}?utm_source=x&utm_medium=organic&utm_campaign=ongoing,Limits arc (evergreen from T+28): 'the rules are the pitch' — bank for quiet weeks
C-limits,phase-c-postlaunch,T+28..T+30 (evergreen),,10:00,bluesky,offline-and-limits.md,{{SITE_URL}}?utm_source=bluesky&utm_medium=organic&utm_campaign=ongoing,Limits arc (evergreen from T+28): 'the rules are the pitch' — bank for quiet weeks
